local time,activity,activity id,source activity,duration(s),elapsed time(s),distance(m),calories(kcal),steps,avg speed(m/s),max speed(m/s),avg heartrate,max heartrate,avg cadence,max cadence,avg power,max power,has GPS,min elevation(m),max elevation(m),elevationgain(m),elevationloss(m)
9/22/2022 14:33,Walking,200,Walking,1023.02,1677.28,644.53,113,923,0.63,0.96,115,126,26,32,0,0,1,257,257,3,0
9/22/2022 12:45,Treadmill Running,106,Indoor Running,2090.98,2090.98,2808.38,343,3309,1.34,2.66,113,148,65,113,0,0,0,0,0,0,0
9/21/2022 11:54,Treadmill Running,106,Indoor Running,2424.67,2424.67,3335.59,413,3982,1.38,2.56,120,145,65,105,0,0,0,0,0,0,0
9/20/2022 14:07,Treadmill Running,106,Indoor Running,2329,2329,4115.27,468,4736,1.77,2.59,134,150,76,129,0,0,0,0,0,0,0
9/19/2022 12:39,Treadmill Running,106,Indoor Running,2078.46,2078.46,3952.26,458,4553,1.9,2.62,129,156,71,153,0,0,0,0,0,0,0
9/16/2022 12:35,Treadmill Running,106,Indoor Running,2339.09,2339.09,3594.8,418,4339,1.54,2.55,120,137,73,175,0,0,0,0,0,0,0
9/15/2022 14:12,Treadmill Running,106,Indoor Running,1773.02,1773.02,3058.43,351,3697,1.72,2.38,130,142,74,199,0,0,0,0,0,0,0
9/14/2022 7:01,Treadmill Running,106,Indoor Running,1097.68,1097.68,2045.91,238,2329,1.86,2.44,133,146,72,112,0,0,0,0,0,0,0
9/13/2022 9:37,Treadmill Running,106,Indoor Running,2021.73,2021.73,3592.02,411,4295,1.78,2.44,125,141,74,123,0,0,0,0,0,0,0
9/12/2022 15:55,Treadmill Running,106,Indoor Running,1621.27,1621.27,2989.49,340,3499,1.84,2.46,126,139,72,93,0,0,0,0,0,0,0
9/9/2022 10:49,Treadmill Running,106,Indoor Running,2141.91,14230.19,3341.41,654,4289,1.56,2.28,111,137,68,233,0,0,0,0,0,0,0
9/8/2022 11:34,Treadmill Running,106,Indoor Running,2112.83,2112.83,3657.04,409,4592,1.73,2.33,122,133,65,168,0,0,0,0,0,0,0
9/6/2022 14:26,Treadmill Running,106,Indoor Running,1459.22,1459.22,1609.64,204,2038,1.1,2.2,116,131,72,187,0,0,0,0,0,0,0
8/31/2022 9:09,Indoor Walking,206,Indoor Walking,1019.26,1019.26,1235.75,113,1584,1.21,1.49,97,124,46,70,0,0,0,0,0,0,0
8/29/2022 20:53,Indoor Walking,206,Indoor Walking,4990.68,4990.68,1620.1,322,2052,0.32,1.36,94,111,23,99,0,0,0,0,0,0,0
8/28/2022 19:41,Indoor Walking,206,Indoor Walking,4457.17,4457.17,2770.94,345,3667,0.62,1.34,85,105,32,50,0,0,0,0,0,0,0
8/28/2022 12:01,Walking,200,Walking,1192.59,3087.09,1083.58,151,1442,0.91,1.32,75,94,30,93,0,0,1,433,435,0,0
8/28/2022 11:07,Walking,200,Walking,2573.28,2573.28,2198.44,231,2757,0.85,1.73,95,108,35,105,0,0,1,428,452,2,32
8/26/2022 15:02,Treadmill Running,106,Indoor Running,1983.5,1983.5,3424.51,385,4105,1.73,2.29,118,128,74,106,0,0,0,0,0,0,0
8/25/2022 14:52,Treadmill Running,106,Indoor Running,1704.28,1704.28,3361.51,373,4030,1.97,2.41,130,146,74,141,0,0,0,0,0,0,0
8/24/2022 10:15,Treadmill Running,106,Indoor Running,1538.35,1538.35,2836.69,315,3552,1.84,2.25,126,133,67,140,0,0,0,0,0,0,0
8/22/2022 20:24,Running,100,Running,1332.66,1332.66,1747.14,148,2169,1.31,1.61,92,118,51,91,0,0,1,257,261,2,5
8/21/2022 9:21,Cycling,500,Cycling,2038.92,2038.92,4536.44,146,0,2.22,4.03,102,116,0,0,0,0,1,255,260,4,7
8/16/2022 14:03,Treadmill Running,106,Indoor Running,2374.18,2374.18,3880.76,436,4848,1.63,2.3,121,155,75,209,0,0,0,0,0,0,0
8/15/2022 13:23,Treadmill Running,106,Indoor Running,1645.58,1997.69,3131.79,357,3904,1.9,2.29,130,142,67,84,0,0,0,0,0,0,0
8/14/2022 11:33,Treadmill Running,106,Indoor Running,2174.25,2174.25,3576.23,401,4496,1.64,2.29,125,141,74,139,0,0,0,0,0,0,0
8/12/2022 10:33,Treadmill Running,106,Indoor Running,1845.92,1845.92,3252.45,386,3996,1.76,2.45,135,157,74,155,0,0,0,0,0,0,0
8/10/2022 20:59,Walking,200,Walking,3052.91,3052.91,2500.28,294,3621,0.82,1.32,84,102,39,49,0,0,1,257,261,0,2
8/9/2022 12:33,Running,100,Running,1984.04,1984.04,2542.16,319,3152,1.28,2.33,120,143,66,141,0,0,1,257,258,0,0
8/8/2022 13:01,Running,100,Running,1909.82,1909.82,2402.37,280,3011,1.26,2.4,116,134,65,140,0,0,1,257,258,0,0
6/13/2022 7:26,Treadmill Running,106,Indoor Running,2038.43,2038.43,2309.57,282,2885,1.13,2.38,111,133,64,128,0,0,0,0,0,0,0
6/10/2022 7:32,Treadmill Running,106,Indoor Running,1477.19,1477.19,1916.55,228,2424,1.3,2.41,117,132,68,210,0,0,0,0,0,0,0
6/7/2022 12:08,Treadmill Running,106,Indoor Running,2177.29,2177.29,3269.31,381,3998,1.5,2.28,122,139,72,211,0,0,0,0,0,0,0
6/3/2022 11:19,Treadmill Running,106,Indoor Running,2525.81,2525.81,4242.37,486,5291,1.68,2.41,128,147,72,163,0,0,0,0,0,0,0
6/1/2022 11:16,Treadmill Running,106,Indoor Running,2175.73,2175.73,2533.18,321,3068,1.16,2.36,111,138,67,117,0,0,0,0,0,0,0
5/23/2022 16:04,Treadmill Running,106,Indoor Running,1464.09,1464.09,2125.22,244,2626,1.45,2.27,116,143,69,117,0,0,0,0,0,0,0
5/23/2022 15:24,Treadmill Running,106,Indoor Running,733.17,733.17,152.97,44,198,0.21,1.06,80,111,50,164,0,0,0,0,0,0,0
5/16/2022 11:29,Treadmill Running,106,Indoor Running,2118.4,2118.4,2704.94,318,3347,1.28,2.27,111,129,64,155,0,0,0,0,0,0,0
5/15/2022 9:20,Cycling,500,Cycling,1232.41,3434.89,2934.07,138,0,2.38,4.69,98,133,0,0,0,0,1,252,260,7,2
5/12/2022 7:10,Treadmill Running,106,Indoor Running,2218.72,2218.72,1954.57,233,2928,0.88,2.2,109,114,46,164,0,0,0,0,0,0,0
5/11/2022 10:37,Treadmill Running,106,Indoor Running,2177.57,2177.57,3225.23,379,3986,1.48,2.3,124,139,64,140,0,0,0,0,0,0,0
5/10/2022 6:51,Treadmill Running,106,Indoor Running,2529.63,2529.63,2463.1,299,3285,0.97,2.19,116,148,63,161,0,0,0,0,0,0,0
5/9/2022 20:51,Walking,200,Walking,706.58,706.58,831.59,83,1001,1.18,2.82,114,139,32,72,0,0,1,257,260,1,0
4/18/2022 21:49,Indoor Walking,206,Indoor Walking,2037.83,2037.83,1980.75,290,2391,0.97,2.34,114,145,37,75,0,0,0,0,0,0,0
4/14/2022 21:18,Indoor Walking,206,Indoor Walking,1887.1,1887.1,1675.3,244,2156,0.89,1.43,116,124,32,54,0,0,0,0,0,0,0
4/13/2022 20:02,Treadmill Running,106,Indoor Running,2124.21,2124.21,2157.8,292,5817,1.02,2.22,125,152,56,245,0,0,0,0,0,0,0
2/18/2022 19:52,Treadmill Running,106,Indoor Running,1620.25,1620.25,1648.86,211,2126,1.02,2.03,120,128,59,140,0,0,0,0,0,0,0
2/16/2022 18:41,Treadmill Running,106,Indoor Running,1696.49,1696.49,2536.74,276,3255,1.5,2.35,120,138,68,140,0,0,0,0,0,0,0
2/15/2022 19:52,Indoor Walking,206,Indoor Walking,2104.78,2104.78,2423.02,337,3015,1.15,2.21,122,149,43,70,0,0,0,0,0,0,0
1/27/2022 20:36,Treadmill Running,106,Indoor Running,1522.28,1522.28,2061.5,248,2618,1.35,2.18,120,132,70,102,0,0,0,0,0,0,0
1/25/2022 20:15,Treadmill Running,106,Indoor Running,2092.8,31229.64,2834.91,1046,3694,1.35,2.33,80,144,68,141,0,0,0,0,0,0,0
1/20/2022 20:04,Treadmill Running,106,Indoor Running,1313.96,1313.96,1852.7,230,2288,1.41,2.26,122,151,64,175,0,0,0,0,0,0,0
1/19/2022 19:54,Indoor Walking,206,Indoor Walking,1739.48,1739.48,2666.43,328,3108,1.53,2.31,129,147,52,77,0,0,0,0,0,0,0
1/18/2022 19:48,Treadmill Running,106,Indoor Running,1847.46,1847.46,2803.41,361,3449,1.52,2.36,133,149,65,152,0,0,0,0,0,0,0
1/15/2022 19:03,Treadmill Running,106,Indoor Running,1327.36,1327.36,1688.64,215,2251,1.27,2.3,110,132,50,180,0,0,0,0,0,0,0
1/14/2022 20:43,Treadmill Running,106,Indoor Running,1836.51,1836.51,2761.52,356,3333,1.5,2.42,133,150,64,163,0,0,0,0,0,0,0
1/13/2022 19:59,Treadmill Running,106,Indoor Running,1678.33,1678.33,2100.32,266,2569,1.25,2.31,122,141,60,164,0,0,0,0,0,0,0
1/12/2022 19:10,Treadmill Running,106,Indoor Running,1779.01,2514.76,2496.18,339,2977,1.4,2.4,127,149,66,142,0,0,0,0,0,0,0
1/11/2022 20:13,Treadmill Running,106,Indoor Running,2003.11,2003.11,3330.62,401,3871,1.66,2.56,139,158,73,164,0,0,0,0,0,0,0
1/9/2022 16:54,Treadmill Running,106,Indoor Running,1823.23,1823.23,3047.72,362,3576,1.67,2.65,144,158,72,164,0,0,0,0,0,0,0
1/8/2022 17:00,Treadmill Running,106,Indoor Running,1718.61,1718.61,3048.05,357,3602,1.77,2.45,136,159,71,142,0,0,0,0,0,0,0
1/6/2022 19:01,Treadmill Running,106,Indoor Running,1218.46,1218.46,2221.86,260,2597,1.82,2.43,131,153,68,116,0,0,0,0,0,0,0
1/5/2022 19:51,Treadmill Running,106,Indoor Running,1905.52,1905.52,3227.15,391,4231,1.69,2.42,133,161,64,141,0,0,0,0,0,0,0
1/4/2022 19:03,Treadmill Running,106,Indoor Running,1303.82,1305.96,1479.97,203,1835,1.14,2.39,118,137,60,125,0,0,0,0,0,0,0
12/2/2021 19:09,Treadmill Running,106,Indoor Running,1619.66,1619.66,927.51,160,1260,0.57,1.62,121,132,49,164,0,0,0,0,0,0,0
11/19/2021 16:44,Treadmill Running,106,Indoor Running,907.25,907.25,1626.29,196,1933,1.79,2.43,142,153,71,187,0,0,0,0,0,0,0
11/12/2021 16:56,Treadmill Running,106,Indoor Running,1365.7,1365.7,1996.33,249,2370,1.46,2.4,141,158,73,187,0,0,0,0,0,0,0
11/8/2021 19:16,Treadmill Running,106,Indoor Running,2289.62,2289.62,2116.72,336,2627,0.92,2.24,123,152,56,141,0,0,0,0,0,0,0
11/7/2021 19:27,Treadmill Running,106,Indoor Running,2423,2423,2950.19,372,3532,1.22,2.42,119,153,60,234,0,0,0,0,0,0,0
11/6/2021 20:44,Treadmill Running,106,Indoor Running,1511.13,1511.13,2638.67,314,3098,1.75,2.4,130,152,69,187,0,0,0,0,0,0,0
